2023/01/13
左右2Vで空転させたときのログ
LPFなし
spd(*100000),encdiff,encang,0
275498,730,1154,0
267380,708,16113,0
258755,694,14729,0
270932,749,13258,0
263575,728,11786,0
258502,708,10347,0
262560,731,8909,0
260277,704,7433,0
262560,690,6096,0
269410,714,4689,0
255711,680,3309,0
263068,712,1899,0
270932,714,461,0
262053,684,15462,0
267127,704,14068,0
274737,751,12564,0
263068,717,11108,0
267888,726,9676,0
273469,748,8204,0
264083,703,6778,0
260531,699,5407,0
259009,680,4012,0
266873,702,2612,0
265351,717,1190,0
266112,698,16163,0
268395,701,14760,0
280065,736,13309,0
274484,737,11847,0
267380,744,10362,0
272708,728,8907,0
257487,700,7461,0
265858,706,6079,0
275752,724,4655,0
261546,691,3253,0
265605,707,1886,0
275752,730,445,0
262560,704,15405,0
268395,707,14000,0
272961,714,12569,0
265605,715,11148,0
271186,758,9629,0
272454,726,8200,0
250891,654,6837,0
264844,726,5387,0
257487,664,4029,0
248101,662,2663,0
280572,743,1225,0
262814,686,16194,0
246832,666,14865,0
285899,738,13409,0
258502,727,11951,0
267634,707,10534,0
258502,722,9092,0
265097,722,7648,0
253174,686,6283,0
255204,689,4888,0
261292,695,3473,0
264336,692,2092,0
266619,702,703,0
266112,710,15647,0
260277,684,14268,0
273469,711,12855,0
278542,743,11378,0
265097,699,9963,0
270171,743,8474,0
261038,677,7102,0
260277,704,5681,0
252921,674,4312,0
249369,661,2945,0
267888,717,1543,0
268903,708,122,0
255457,697,15099,0
274737,724,13667,0
273976,719,12226,0
267888,718,10796,0
270171,737,9332,0
263829,715,7896,0
263575,693,6504,0
252159,707,5097,0
258755,700,3681,0
263068,691,2294,0
268903,737,846,0
263068,710,15785,0
268395,702,14386,0
267127,730,12937,0
266366,714,11503,0
288436,765,9986,0
268395,708,8516,0
259263,706,7109,0
266873,711,5709,0
263068,711,4268,0
257487,693,2871,0
273215,725,1433,0
265858,709,3,0
264336,716,14955,0
277781,748,13484,0
279303,742,11998,0
268903,721,10550,0
284377,772,9044,0
274484,718,7570,0
257487,698,6192,0
259516,693,4774,0
261799,712,3343,0
259770,719,1916,0
273215,737,455,0
267380,713,15398,0
273469,731,13955,0
274230,739,12474,0
270425,733,11011,0
279050,744,9530,0
285392,755,8035,0
269664,700,6614,0
273215,737,5178,0
261546,707,3759,0
264336,686,2363,0
280826,776,863,0
253428,666,15840,0
280826,763,14406,0
263322,717,12962,0
274484,708,11529,0
273215,734,10077,0
279050,761,8549,0
261038,686,7151,0
263321,713,5722,0
263322,692,4320,0
250130,674,2930,0
266366,746,1491,0
269156,723,24,0
251145,704,14993,0
276259,725,13558,0
264844,723,12099,0
269664,727,10650,0
264844,756,9150,0
266619,722,7692,0
250637,716,6270,0
272961,715,4842,0
254189,704,3407,0
265858,720,1993,0
267380,747,486,0
252667,698,15452,0
254189,706,14064,0
284631,777,12512,0
250384,715,11085,0
270171,741,9610,0
271186,741,8131,0
233894,677,6722,0
253174,679,5313,0
248101,673,3900,0
246832,674,2507,0
265858,727,1035,0
256472,716,16008,0
246832,697,14588,0
248354,723,13159,0
259263,724,11699,0
259516,741,10231,0
267634,764,8702,0
249876,674,7295,0
258755,710,5881,0
256979,718,4477,0
257994,701,3061,0
254443,725,1627,0
267634,720,188,0
263575,714,15162,0
262307,739,13687,0
257740,723,12235,0
265097,722,10796,0
261799,771,9287,0
262814,735,7794,0
242520,700,6400,0
249623,678,4982,0
254189,701,3572,0
251652,717,2127,0
269410,752,708,0
238461,700,15657,0
271693,733,14295,0
237446,680,12850,0
264590,715,11451,0
246578,680,10005,0
264083,751,8552,0
241759,671,7193,0
250637,716,5841,0
246578,707,4458,0
249369,664,3169,0
253174,699,1805,0
257233,703,389,0
243788,654,15431,0
248608,678,14104,0
264336,717,12662,0
257487,702,11251,0
264336,726,9811,0
256218,700,8388,0
255457,679,7023,0
248608,681,5656,0
256979,710,4267,0
254443,689,2904,0
253428,695,1497,0
252159,695,98,0
262560,677,15131,0
250637,713,13727,0
269410,722,12277,0
252159,719,10846,0
280065,747,9352,0
264336,715,7904,0
246832,672,6546,0
255711,674,5148,0
253428,696,3739,0
257740,707,2363,0
253174,721,927,0
252921,708,15892,0
259263,709,14482,0
266873,740,13016,0
261799,721,11566,0
269156,742,10099,0
264590,727,8624,0
258502,700,7213,0
256726,675,5820,0
258248,687,4401,0
262053,719,2970,0
252921,672,1601,0
273469,754,116,0
243281,636,15171,0
263322,735,13746,0
